snapshot_date	classification_observed_date	trading_line_id	security_id	ticker	display_name	reference_mic	reference_market	active	official_issue_type	official_issue_type_code	status	failure_stage	error_type	error_message	attempts	provider	provider_mic	adjustment_basis	first_session_date	as_of_date	available_sessions	latest_close	latest_vwap	latest_shares	latest_trades	latest_turnover	momentum_1m	momentum_3m	momentum_6m	volatility_60d_annualized	current_drawdown_252d	max_drawdown_252d	median_shares_20d	median_trades_20d	median_turnover_20d	median_vwap_20d	has_1m	has_3m	has_6m	has_volatility_60d	has_drawdown_252d	has_liquidity_20d	completed_at_utc
2026-09-13	2026-09-14	IT0005481855-MTAA	IT0005481855	MET	MET.EXTRA GROUP	MTAA	Euronext Milan	True	Common Stock	101	FETCH_FAIL	fetch	ValueError	Missing openPx.	3																												2026-09-14T23:13:51.891975+00:00
2026-09-13	2026-09-14	IT0005730095-MTAA	IT0005730095	EPH	EPH INVEST	MTAA	Euronext Milan	True	Common Stock	101	FETCH_FAIL	fetch	ValueError	Missing volCap.	3																												2026-09-14T23:13:55.720050+00:00
2026-09-13	2026-09-14	BMG455841020-XAMS	BMG455841020	HAL	HAL TRUST	XAMS	Euronext Amsterdam	True	Common Stock	101	FEATURE_FAIL	feature	ValueError	Market observation series cannot be empty.	1																												2026-09-14T23:13:57.835400+00:00
